gene	transcript	GFP1	GFP2	GFP3	NFYA_DN1	NFYA_DN2	NFYA_DN3	PBCAB1	PBCAB2	PBCAB3
mal2	NM_001135977	2.04	1.39	2.64	3.65	2.21	3.30	3.80	1.60	4.84
ftr54	NM_001099428	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
foxb1b	NM_131283	24.64	23.59	29.46	26.66	25.90	24.43	36.09	27.57	36.06
zgc:174888	NM_001113584	4.09	6.09	4.48	7.34	5.74	10.50	10.08	8.54	9.26
trafd1	NM_001089515	12.64	13.36	14.90	12.14	10.49	9.57	13.15	14.70	13.46
si:dkey-238c7.16	NM_001044882	11.29	10.84	17.02	8.61	7.46	8.59	7.03	11.67	9.52
e2f5	NM_001197300,NM_205615	3.90	3.92	4.04	3.27	4.05	4.33	3.36	4.91	4.05
dnm1a	NM_001245965	0.12	0.09	0.21	0.16	0.18	0.22	0.22	0.41	0.39
cdk20	NM_001008655	1.77	1.57	1.36	1.58	1.33	0.85	1.14	1.71	0.88
pigk	NM_001002149	4.16	5.08	8.48	6.59	8.36	5.47	3.51	7.55	5.51
pdxka	NM_001126449	9.94	10.88	12.84	4.73	5.88	5.04	10.33	11.75	10.41
chd2	NM_001281462	30.99	37.16	31.75	36.95	35.61	32.72	35.25	35.24	35.81
ptmaa	NM_194376	312.02	303.23	301.93	272.52	257.64	241.24	277.25	361.62	315.31
zfpm2b	NM_001039524	0.81	0.94	1.08	1.19	0.81	1.16	1.17	1.04	0.93
zdhhc18b	NM_214707	13.93	15.95	12.01	13.44	12.97	16.70	17.60	15.30	18.21
nkx2.1	NM_131776	9.25	9.64	6.83	6.56	6.55	5.39	12.85	8.42	11.07
prickle1b	NM_001030098	49.67	48.69	44.79	44.12	44.79	59.55	77.74	48.16	68.29
anpepb	NM_001089325	6.04	6.59	7.49	2.95	1.79	1.02	1.61	3.60	2.20
ptprja	NM_001136242	0.12	0.17	0.20	0.29	0.19	0.13	0.17	0.15	0.15
kcnj8	NM_001030153	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.08	0.00
cyp2aa7	NM_001109722	4.43	4.61	3.83	6.05	5.47	7.37	4.54	5.62	3.90
arr3a	NM_001002405	0.35	0.61	0.23	0.37	0.60	0.37	0.35	0.18	0.32
ccl33.2	NM_001128278	0.28	0.00	0.00	0.30	0.00	0.00	0.34	0.00	0.00
trmo	NM_001037692	3.71	5.96	5.96	6.45	6.79	4.74	3.45	5.46	4.49
stx11b.1	NM_200862	17.33	17.68	17.57	22.88	24.75	27.27	23.15	19.14	19.38
lrp5	NM_001177458	24.87	27.54	22.96	24.93	23.76	24.93	48.02	33.15	44.61
klhl32	NM_001083022	0.61	1.05	0.74	0.85	1.23	0.81	0.62	1.18	1.43
camsap2a	NM_001044996	30.23	33.93	18.20	40.40	47.47	72.49	77.34	41.96	65.37
kctd9a	NM_001013567	3.20	3.21	2.55	1.87	2.93	1.70	5.37	3.71	4.14
ba1l	NM_001013027	0.85	0.59	0.00	0.41	0.18	0.00	0.00	0.00	0.00
zgc:103564	NM_001007333	8.41	7.82	7.20	6.37	7.23	9.53	6.92	9.24	9.76
neurl1ab	NM_001076708	10.78	11.09	4.59	11.16	13.62	30.17	29.39	8.08	20.55
cirbpa	NM_001017797	3366.90	3240.74	3228.69	3162.74	3401.05	3550.89	3219.84	3269.36	3269.61
zgc:193538	NM_001130597	18.95	19.15	20.73	23.74	21.88	21.30	14.27	20.91	19.82
slc6a4a	NM_001039972	3.15	3.59	3.41	3.65	3.43	3.52	2.16	3.92	2.74
vkorc1l1	NM_001020688	44.16	43.82	42.65	45.42	35.26	38.64	39.29	44.04	43.46
si:ch211-225k7.6	NM_001099992	0.00	0.00	0.00	0.00	0.79	0.51	0.00	0.00	0.73
atp6v1ba	NM_182878	122.07	125.57	113.74	148.78	147.79	164.05	128.62	134.51	124.11
zgc:152945	NM_001076754	1.67	0.83	0.36	1.67	1.19	0.08	1.04	0.91	1.33
zgc:175248	NM_001177454	0.20	0.07	0.07	0.36	0.14	0.07	0.81	0.28	0.36
iqcc	NM_001145621	9.71	8.63	8.92	6.97	7.21	9.48	9.71	6.80	9.00
eif3ba	NM_001290093	450.87	475.03	459.17	429.82	414.60	388.05	388.66	412.55	399.07
hnrnpd	NM_001110460	119.31	121.66	123.61	111.84	123.25	113.92	117.83	116.07	124.79
arid3c	NM_001100039	55.75	67.44	58.62	68.74	59.34	50.88	52.55	67.84	59.09
irx5b	NM_001001405	5.40	5.50	8.57	5.38	6.22	1.85	2.22	5.54	3.59
cacna2d2a	NM_001013503	4.16	4.58	4.31	4.37	5.28	4.41	5.26	5.92	6.11
tceb3	NM_200121	2.33	2.20	2.93	2.69	2.30	2.65	2.29	2.87	3.40
sdr42e1	NM_001037690,NM_001310081	3.21	3.04	4.42	3.63	4.37	3.33	3.38	5.22	3.58
si:ch73-42k18.1	NM_001128575	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
drd1b	NM_001135976	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.21
mcm3l	NM_001171068	0.75	0.83	0.52	0.55	0.54	0.94	1.30	2.62	1.25
bcap29	NM_001024220	20.77	23.42	27.69	22.01	18.77	18.97	24.71	25.69	26.35
si:dkey-9i23.4	NM_001145608	0.00	0.15	0.00	0.16	0.00	0.00	0.18	0.00	0.16
wrap73	NM_199893	21.84	20.89	24.83	17.17	18.81	14.21	18.26	23.38	19.18
si:ch73-62b13.1	NM_001082951	0.08	0.00	0.16	0.42	0.41	0.00	0.00	0.25	0.09
zgc:174637	NM_001105122	5.54	8.73	9.71	12.14	8.47	9.12	6.25	9.41	7.68
zgc:153968	NM_001077456	0.08	0.26	0.00	0.09	0.08	0.34	0.00	0.00	0.09
ppp1r3cb	NM_200834	22.41	20.39	18.89	33.63	34.12	37.27	40.02	32.39	33.79
lmo2	NM_131111	39.84	39.09	81.37	67.87	53.82	15.33	12.03	39.11	21.90
hsf5	NM_001089476	1.83	1.85	0.79	1.41	0.88	0.95	3.94	0.89	3.08
clstn1	NM_001077784	12.36	16.44	11.59	14.37	14.40	19.37	31.56	16.14	27.05
zgc:171965	NM_001102624	0.72	0.75	0.91	0.82	1.21	1.36	1.56	1.22	2.38
cth	NM_212604	103.48	104.89	108.17	86.42	79.77	79.42	91.06	113.48	95.36
ets2	NM_001023580	11.26	9.47	6.48	18.05	15.00	23.63	12.19	10.83	11.59
faf2	NM_001128680	96.50	105.97	103.97	126.44	127.27	126.41	103.39	109.54	111.46
mmp14a	NM_194416	5.18	6.58	14.49	10.40	8.39	3.96	2.86	7.78	4.06
zp2.5	NM_001039883	13.89	25.90	8.62	24.81	20.82	55.68	37.49	19.58	30.25
mir144	NR_030092	1.88	1.97	3.74	0.00	0.00	0.00	0.00	0.00	2.02
phf23b	NM_199844	20.81	21.40	23.03	20.77	21.67	19.99	20.12	26.04	22.71
sort1a	NM_213230	13.23	15.35	13.04	13.70	11.21	10.81	11.54	12.94	13.65
alox5b.3	NM_001020578	8.70	11.21	2.47	11.80	7.92	14.68	10.42	2.61	9.46
clcnk	NM_200382	0.00	0.00	0.04	0.00	0.00	0.13	0.00	0.00	0.09
irbp	NM_131451	0.04	0.13	0.29	0.48	0.52	0.18	0.25	0.48	0.09
flot2b	NM_200639	17.54	19.34	19.00	19.21	17.32	17.16	30.10	17.40	26.43
taar12i	NM_001083085	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
pcdh1g26	NM_001024124	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00
thap3	NM_001014294	6.98	8.75	8.45	8.68	8.59	8.86	6.63	7.68	10.79
rnf11b	NM_001128408	8.01	8.96	7.20	10.28	11.00	10.33	8.81	9.79	9.78
ptges3a	NM_213170	90.38	92.61	127.92	110.40	114.87	95.57	66.75	128.75	78.16
tpm4b	NM_199675	9.25	9.57	17.04	14.70	13.92	12.67	4.69	13.44	6.71
fam151b	NM_001003531	5.02	4.37	5.38	3.08	3.90	2.42	4.44	5.48	4.99
myl10	NM_001017871	131.19	131.36	285.22	142.34	125.20	68.13	57.34	151.53	77.41
epb41l5	NM_200089	41.21	45.68	47.07	43.33	43.06	34.72	39.70	48.51	42.56
pyroxd2	NM_001256216	11.31	13.07	13.93	11.44	9.89	7.56	16.02	14.87	14.63
nr1h5	NM_001123241	0.64	0.67	0.29	0.61	0.96	0.55	0.35	0.49	0.31
lhfp	NM_001008653	26.55	24.37	30.47	26.35	23.23	26.49	23.34	26.65	21.83
igf2bp3	NM_131491	136.24	157.64	156.95	165.01	152.38	162.21	189.05	156.04	188.81
ppp4r1	NM_200260	103.31	98.58	81.67	97.20	95.16	95.05	126.96	81.42	104.86
znf598	NM_001033718	44.51	47.42	47.47	69.33	69.41	70.99	39.94	57.64	45.70
lamb1b	NM_001277130	1.05	1.46	1.54	2.26	1.49	0.50	0.45	1.25	0.69
wdr41	NM_001030261	5.55	6.37	7.11	7.61	8.97	6.49	6.53	6.81	5.34
cul4b	NM_001122844	60.80	62.00	64.55	54.54	60.90	56.16	57.09	64.31	61.65
ubn2b	NM_001104940	74.25	81.44	63.11	69.83	70.70	78.12	79.49	74.82	78.82
cthl	NM_001005400	0.78	1.21	0.56	0.94	1.00	0.26	0.00	0.00	0.00
slc39a9	NM_001013540	56.15	56.34	52.61	76.92	73.76	75.06	42.81	63.08	47.07
pcolce2b	NM_200460	5.26	4.39	5.97	6.24	5.83	4.43	4.82	6.86	5.37
ccdc124	NM_200565	59.46	54.29	67.29	50.25	48.97	46.06	40.99	53.39	49.98
zgc:195173	NM_001128775	2.33	2.91	2.54	2.33	1.94	1.74	1.06	1.97	0.48
smyd5	NM_001004614	27.46	28.19	34.32	25.84	24.23	19.63	12.46	32.11	20.29
zgc:171509	NM_001114904	7.21	5.94	5.51	6.54	5.44	6.26	7.61	7.99	6.34
slc38a8	NM_001144815	0.08	0.00	0.15	0.16	0.31	0.32	0.00	0.32	0.16
kng1	NM_001005981	76.00	74.75	77.53	148.82	133.74	111.19	46.48	122.14	65.80
znf750	NM_001017786	29.17	37.37	20.73	22.57	22.42	20.29	28.79	25.98	28.59
scp2b	NM_001006093	9.29	10.29	11.28	13.78	12.28	8.64	11.00	10.56	11.25
glud1b	NM_199545	23.35	24.67	31.30	40.27	39.25	36.91	20.85	28.85	24.05
nme2b.1	NM_130926	563.49	547.21	556.80	589.43	587.79	513.40	475.38	553.93	485.31
rnd3a	NM_199522	36.99	39.24	43.57	42.99	41.29	32.07	31.71	46.04	35.32
wnt2bb	NM_001044344	3.44	2.85	5.20	3.46	2.80	1.27	0.94	2.47	0.77
soul3	NM_001045401	46.88	43.61	30.33	51.79	49.92	62.40	62.32	35.10	51.84
scn8aa	NM_131628	0.07	0.09	0.14	0.15	0.09	0.08	0.12	0.24	0.09
ifrd1	NM_001076555	26.67	26.47	23.31	27.24	30.16	28.93	14.99	27.08	18.19
or102-1	NM_131740	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rpsa	NM_201052	4674.68	4012.12	4594.12	3377.01	3431.26	3418.86	4096.00	4201.27	4072.76
spdya	NM_001006091	1.40	1.30	0.93	1.55	1.28	1.30	2.05	2.35	1.59
hic2	NM_182869	84.69	103.02	86.53	98.71	94.32	97.97	132.07	119.39	140.06
pigrl2.1	NM_001306096	0.00	0.00	0.00	0.10	0.00	0.10	0.00	0.00	0.00
crybb1l2	NM_001100437	0.17	0.44	1.07	0.78	0.60	0.61	0.80	1.13	0.72
zgc:113969	NM_001033739	0.00	0.00	0.63	0.00	0.00	0.00	0.00	0.00	0.34
zgc:103482	NM_001006022	10.85	9.97	9.22	13.23	11.34	16.43	18.79	17.20	20.31
pwp1	NM_200292	79.61	80.14	79.66	69.19	80.21	78.71	78.30	69.16	71.68
mir125c	NR_030070	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ube2kb	NM_001008611	33.59	40.00	41.10	55.53	52.37	50.56	26.56	47.28	32.34
spsb4a	NM_001256642	94.46	94.71	58.69	81.46	85.72	105.37	129.82	88.71	114.78
git2b	NM_001080188	8.56	9.51	9.16	9.80	8.86	9.61	13.32	11.29	12.96
col9a1a	NM_001130624	0.37	0.14	0.37	0.14	0.43	0.24	0.17	0.14	0.25
zgc:153704	NM_001076726	0.14	0.00	0.00	0.29	0.28	0.00	0.00	0.14	0.30
olfcg4	NM_001128562	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00
si:dkey-20d21.12	NM_001128235	0.58	0.70	1.99	1.66	1.03	1.39	1.70	1.83	1.17
nr5a5	NM_001077272,NM_214779	0.00	0.00	0.00	0.20	0.25	0.05	0.06	0.25	0.16
trhrb	NM_001114688	0.00	0.09	0.00	0.00	0.09	0.00	0.00	0.00	0.00
rabggta	NM_001076663	23.05	25.98	27.31	26.78	25.01	24.21	22.09	28.70	22.16
xpnpep2	NM_201032	0.21	0.07	0.46	0.41	0.37	0.07	0.13	0.22	0.27
lin7c	NM_001004672	35.06	37.41	41.18	40.06	39.10	27.65	28.83	41.09	33.64
nhlh2	NM_205669	3.88	3.35	6.95	3.63	3.42	0.76	0.93	3.51	1.30
sdhb	NM_001098740	98.37	98.34	108.64	128.24	115.37	109.44	66.75	99.57	81.32
thrap3b	NM_214815	226.72	236.12	189.60	221.48	233.63	274.84	323.87	228.83	301.30
rbp2b	NM_001002307	9.52	7.87	21.31	17.31	17.72	4.39	1.54	11.28	3.55
srsf3a	NM_001002053	281.00	269.25	230.68	249.50	280.04	316.07	324.23	310.65	288.78
chtf18	NM_001110102	40.59	40.90	44.44	36.93	34.64	36.36	44.52	44.86	43.90
boc	NM_001005393	78.98	90.62	80.42	62.27	61.52	56.65	80.70	77.98	81.28
cxadr	NM_152948	64.86	68.67	73.48	59.39	55.77	46.84	55.59	58.53	54.01
rpl38	NM_001002486	2083.07	1900.82	2141.92	1904.01	1933.13	1832.11	2224.35	2244.11	2208.30
entpd8	NM_001002379	0.29	0.25	0.52	1.36	0.99	0.35	0.17	0.65	0.36
sypl2b	NM_212669	16.04	17.26	16.43	19.65	21.52	27.62	23.73	20.95	25.55
LOC794757	NR_102278	0.82	0.49	1.16	1.71	0.24	0.24	0.84	0.61	0.13
ppp2r5d	NM_213318	25.74	24.06	26.08	25.14	25.88	27.04	27.84	32.10	28.66
flrt3	NM_001256646	98.01	114.38	140.55	109.33	104.65	89.81	81.69	104.37	89.08
si:dkey-42i9.6	NM_001044870	94.37	100.37	102.38	124.62	114.54	109.86	76.85	102.96	93.01
naprt	NM_200890	13.32	13.97	19.69	18.16	15.84	9.86	6.81	14.58	8.86
pgap3	NM_001114591	18.90	22.48	14.00	22.89	23.36	27.53	34.70	21.03	32.02
mgll	NM_200297	53.66	65.25	43.24	77.26	81.51	99.82	88.94	60.57	82.78
rrp7a	NM_001017579	190.83	171.85	160.63	168.90	167.14	168.98	191.24	150.16	190.24
si:ch73-208g10.1	NM_001098261	1.39	1.54	1.93	1.54	1.53	1.48	2.07	1.58	1.78
agtpbp1	NM_001024445	5.71	6.16	5.55	6.51	5.91	4.77	6.10	6.11	6.10
sirt5	NM_001002605	4.05	4.31	4.83	2.32	2.34	2.30	4.56	4.94	5.49
napab	NM_199766	66.43	67.22	87.86	87.31	87.97	92.33	68.31	87.20	77.48
hibadhb	NM_201160	34.32	33.67	37.07	34.50	33.14	36.85	29.76	32.99	31.19
gfod2	NM_001077746	14.01	14.23	14.06	18.97	16.39	12.87	12.63	12.62	12.39
fgf6b	NM_001009563	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
si:ch211-206k20.5	NM_001145590	20.72	21.72	25.57	19.60	19.79	19.21	19.42	20.15	21.64
ubn2a	NM_001080169	38.27	44.21	33.49	39.98	39.96	57.24	102.41	44.18	87.80
sgk2a	NM_001113622	14.15	15.53	15.20	32.08	23.58	21.93	11.73	19.61	15.40
klf15	NM_212746	1.31	1.87	1.78	0.64	0.76	0.50	0.78	1.23	0.75
polr3gla	NM_001004639,NM_001244802	88.41	95.39	77.80	117.83	106.44	117.82	124.52	75.64	117.82
fam19a4b	NM_001077273	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00
tmem55ba	NM_001037376	16.85	18.88	18.62	17.59	18.39	21.89	17.21	22.24	21.69
ltbp3	NM_001257141	1.29	1.06	1.67	1.77	1.34	1.89	2.10	1.85	2.18
prdm1a	NM_199515	97.33	106.06	73.31	115.36	116.80	137.18	214.84	110.97	179.54
tnfb	NM_001024447	1.92	1.14	1.16	4.02	3.86	5.38	2.30	3.39	3.32
six3a	NM_131362	10.18	11.67	21.15	9.46	7.73	4.78	8.94	14.96	10.73
oplah	NM_001200059	10.32	10.79	12.05	9.47	8.67	6.46	9.13	8.06	8.99
si:ch211-283h6.4	NM_001114693	18.49	19.38	14.55	17.84	18.82	14.57	20.61	19.31	18.06
LOC560084	NM_001123251	0.90	1.14	1.49	0.99	0.57	0.64	0.74	1.25	1.00
saa	NM_001005599	0.66	0.00	0.33	0.00	0.34	1.37	0.00	0.51	0.18
pdxkb	NM_001145586	1.78	2.10	2.66	1.76	2.18	1.63	1.87	4.31	2.40
ugt1b2	NM_001177336	0.12	0.25	0.26	1.58	0.76	3.28	2.06	2.14	1.44
slbp2	NM_001080176	0.22	0.23	0.29	0.23	0.37	0.76	0.17	0.98	0.39
rps15a	NM_212762	3656.79	3439.90	4145.31	2929.06	2880.85	2995.28	3646.00	3778.39	3687.64
iba57	NM_001076635	9.45	9.20	10.67	14.53	11.30	13.21	11.39	9.48	10.24
tp53i11a	NM_001013352	6.31	6.77	6.82	7.58	7.27	6.47	4.96	6.37	6.84
LOC107197950	NM_001320152	1.43	1.04	1.49	1.83	2.24	2.53	1.79	2.47	2.15
elf2a	NM_001004116	20.11	19.69	25.78	23.15	20.35	18.98	18.50	24.08	21.45
si:busm1-37i06.3	NM_001309642	25.03	15.19	9.02	8.90	12.70	13.68	19.43	31.32	22.03
si:ch211-165b19.8	NM_001114694	2.54	1.86	1.01	2.13	1.83	0.93	0.76	1.72	1.37
krt4	NM_131509	6344.58	6472.78	6668.16	7363.62	6733.52	6378.05	5400.91	5071.52	5437.67
zgc:194242	NM_001128815	0.00	0.00	0.00	0.15	0.15	0.15	0.00	0.00	0.00
rpgrip1l	NM_001246660	7.55	11.40	9.26	7.72	7.03	8.51	19.21	13.04	17.00
zgc:110216	NM_001013477	71.86	98.53	65.52	127.19	118.40	148.26	101.67	86.07	97.38
cdc26	NM_001004005	83.24	71.66	71.94	56.77	60.69	62.23	64.07	71.77	66.53
march8	NM_001111193,NM_001161435	3.72	7.54	8.09	5.58	6.35	5.65	10.44	7.63	9.38
cdx4	NM_131109	540.50	527.20	383.69	378.70	427.11	533.89	717.97	505.84	658.22
mpzl3	NM_213169	7.21	8.66	7.58	8.03	7.96	8.42	10.63	9.96	10.39
celf2	NM_194401	2.77	4.35	6.13	3.85	3.06	1.23	2.07	2.02	1.49
fastkd1	NM_205629	5.06	5.72	6.21	5.92	6.39	5.39	5.85	7.86	5.42
cstf1	NM_212670	113.98	116.59	108.78	105.54	110.55	112.57	120.51	115.14	118.05
LOC565231	NM_001128721	42.65	43.63	44.15	26.05	18.97	18.14	43.79	64.54	57.93
psmd9	NM_001002436	59.14	55.21	52.18	62.68	69.45	81.11	82.10	68.73	73.12
cldn15la	NM_131771	0.11	0.00	0.22	0.12	0.34	0.00	0.13	0.00	0.00
blvra	NM_001076601	15.87	21.50	23.26	19.49	21.97	18.57	17.67	20.25	20.39
mknk2a	NM_212723	5.31	5.59	4.23	5.57	4.97	13.92	33.47	7.24	22.81
upp2	NM_200144	0.11	0.00	0.05	0.00	0.22	0.00	0.25	0.06	0.23
idh1	NM_201499	106.97	115.82	102.96	113.56	112.32	124.19	94.27	110.63	103.02
foxf2a	NM_001083815	5.09	5.54	6.23	7.26	5.78	3.88	4.84	4.97	4.14
gse1	NM_001080807	57.92	71.58	54.71	56.79	50.41	60.53	79.60	61.05	75.48
akirin2	NM_213294	170.22	160.87	152.40	178.56	182.91	172.81	197.09	176.47	180.63
scocb	NM_001005966	65.82	70.10	70.85	57.98	61.51	61.25	68.85	76.10	69.48
prickle2b	NM_183343	35.98	39.92	33.00	28.60	27.05	33.22	41.26	29.99	38.58
dync1i1	NM_001079990	0.63	0.62	0.98	1.49	1.26	0.86	0.28	1.11	0.81
mir30e-2	NR_030044	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ugt2a1	NM_001191050	0.82	1.15	0.64	1.03	1.17	1.03	0.15	0.71	0.46
tmem41ab	NM_213083	0.00	0.00	0.05	0.06	0.06	0.00	0.06	0.11	0.06
il12ba	NM_001007108	0.00	0.24	0.00	0.08	0.16	0.00	0.00	0.24	0.16
LOC100151367	NM_001144821	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
plrdgb	NM_131575	0.10	0.05	0.10	0.16	0.16	0.00	0.06	0.00	0.17
si:dkey-245p14.2	NM_001135257	3.92	4.01	4.13	3.11	2.92	3.47	4.38	3.68	4.83
ssx2ipa	NM_200835	7.46	7.39	7.39	4.58	3.61	3.31	6.97	6.86	7.27
hsp90b1	NM_198210	45.96	48.29	64.65	62.01	56.93	42.85	30.02	58.15	39.25
ptbp1b	NM_001122654	280.80	312.00	266.52	229.12	251.58	272.98	385.39	290.84	377.63
