"V2" "V3"
"1" 10160 10430
"2" 11520 11670
"3" 72900 73170
"4" 87880 88030
"5" 88520 88710
"6" 179240 179390
"7" 214940 215230
"8" 293000 293230
"9" 299280 299450
"10" 307020 307250
"11" 316600 316850
"12" 337140 337290
"13" 346220 346510
"14" 347740 347990
"15" 350940 351210
"16" 366660 366850
"17" 369240 369390
"18" 376960 377110
"19" 378620 378790
"20" 385880 386130
"21" 386520 386670
"22" 407260 407570
"23" 459840 460090
"24" 503260 503410
"25" 503420 503630
"26" 504340 504610
"27" 505720 505950
"28" 530780 530950
"29" 540000 540150
"30" 546920 547250
"31" 550420 550570
"32" 560280 560430
"33" 581220 581370
"34" 581760 581970
"35" 581980 582230
"36" 601700 601850
"37" 613460 613670
"38" 613780 614150
"39" 614360 614510
"40" 614520 614750
"41" 615740 616090
"42" 626820 626970
"43" 656700 656850
"44" 656940 657090
"45" 657120 657270
"46" 663820 663970
"47" 682820 683230
"48" 685080 685230
"49" 685780 685930
"50" 686340 686490
"51" 686560 686710
"52" 686900 687190
"53" 693160 693430
"54" 693460 693650
"55" 694160 694410
"56" 696780 697010
"57" 706940 707170
"58" 744960 745110
"59" 754240 754470
"60" 756960 757110
"61" 757600 757790
"62" 764100 764330
"63" 801820 802130
"64" 806640 806890
"65" 807440 807590
"66" 840360 840650
"67" 841680 841910
"68" 847020 847230
"69" 851460 851610
"70" 859460 859610
"71" 882580 882790
"72" 883000 883150
"73" 891980 892470
"74" 893260 893450
"75" 893580 893730
"76" 893860 894070
"77" 894220 894370
"78" 894420 894570
"79" 900200 900350
"80" 911000 911330
"81" 928300 928690
"82" 936220 936370
"83" 950240 950470
"84" 959860 960050
"85" 969740 969970
"86" 976260 976550
"87" 976760 976910
"88" 977100 977310
"89" 981620 981890
"90" 998000 998150
"91" 998240 998550
"92" 998960 999210
"93" 1004880 1005030
"94" 1005160 1005390
"95" 1006400 1006550
"96" 1009160 1009390
"97" 1018120 1018450
"98" 1025160 1025390
"99" 1028720 1028870
"100" 1041360 1041510
"101" 1041960 1042110
"102" 1042240 1042570
"103" 1042580 1042870
"104" 1044520 1044670
"105" 1049720 1050510
"106" 1051940 1052230
"107" 1100540 1100690
"108" 1100960 1101250
"109" 1216920 1217070
"110" 1232060 1232210
"111" 1238540 1238730
"112" 1287720 1287870
"113" 1337340 1337630
"114" 1365320 1365530
"115" 1401020 1401290
"116" 1429400 1429670
"117" 1434140 1434450
"118" 1439680 1439830
"119" 1453620 1453970
"120" 1459820 1459970
"121" 1460180 1460450
"122" 1515640 1515910
"123" 1528100 1528310
"124" 1598240 1598390
"125" 1605040 1605290
"126" 1619960 1620170
"127" 1687360 1687510
"128" 1701180 1701430
"129" 1706300 1706450
"130" 1709040 1709310
"131" 1709340 1709630
"132" 1718980 1719150
"133" 1727400 1727670
"134" 1732740 1733050
"135" 1837500 1837790
"136" 1869940 1870190
"137" 1870220 1870370
"138" 1871820 1872110
"139" 1909260 1909410
"140" 1919320 1919470
"141" 1922100 1922470
"142" 1930440 1930590
"143" 1940140 1940390
"144" 1940480 1940650
"145" 1942040 1942350
"146" 1980080 1980230
"147" 1994260 1994470
"148" 2008100 2008250
"149" 2013660 2014010
"150" 2014980 2015210
"151" 2015820 2015970
"152" 2016140 2016290
"153" 2016480 2017050
"154" 2017800 2018050
"155" 2027420 2027570
"156" 2044480 2044630
"157" 2053220 2053370
"158" 2055440 2055590
"159" 2066900 2067210
"160" 2069240 2069390
"161" 2087780 2087990
"162" 2088220 2088370
"163" 2088520 2088670
"164" 2115500 2115650
"165" 2115920 2116070
"166" 2116220 2116570
"167" 2121340 2121590
"168" 2132560 2132810
"169" 2133880 2134030
"170" 2146560 2146970
"171" 2157680 2158530
"172" 2158800 2158950
"173" 2160440 2160590
"174" 2179640 2179890
"175" 2181860 2182150
"176" 2182300 2182450
"177" 2193600 2193890
"178" 2200080 2200450
"179" 2228160 2228450
"180" 2228540 2228690
"181" 2230160 2230310
"182" 2230400 2230630
"183" 2241360 2241510
"184" 2241520 2242170
"185" 2242420 2242710
"186" 2244060 2244330
"187" 2255240 2255470
"188" 2278940 2279090
"189" 2291980 2292130
"190" 2321780 2322070
"191" 2335920 2336070
"192" 2336140 2336370
"193" 2342640 2342790
"194" 2360920 2361070
"195" 2368060 2368470
"196" 2382660 2382810
"197" 2413620 2413770
"198" 2418580 2418850
"199" 2451940 2452090
"200" 2469600 2469890
"201" 2489840 2490110
"202" 2510460 2510610
"203" 2559220 2559370
"204" 2559540 2559830
"205" 2570620 2570870
"206" 2597540 2597830
"207" 2600340 2600650
"208" 2605440 2605590
"209" 2620980 2621130
"210" 2621200 2621510
"211" 2622260 2622550
"212" 2622620 2622830
"213" 2625520 2625890
"214" 2628920 2629070
"215" 2634900 2635170
"216" 2655840 2655990
"217" 2662540 2662790
"218" 2667160 2667430
"219" 2687000 2687150
"220" 2691060 2691210
"221" 2693160 2693370
"222" 2718460 2718730
"223" 2718820 2718990
"224" 2722880 2723030
"225" 2728100 2728370
"226" 2728940 2729090
"227" 2739140 2739390
"228" 2748600 2748770
"229" 2763480 2763630
"230" 2786600 2786750
"231" 2800480 2800690
"232" 2815320 2815470
"233" 2824540 2824930
"234" 2837900 2838310
"235" 2838320 2838550
"236" 2843860 2844010
"237" 2850300 2850450
"238" 2857200 2857470
"239" 2857660 2857890
"240" 2859860 2860070
"241" 2872340 2872490
"242" 2872580 2872890
"243" 2955640 2955950
"244" 2991360 2991590
"245" 3008120 3008410
"246" 3035660 3035890
"247" 3058600 3058750
"248" 3083160 3083310
"249" 3087820 3087970
"250" 3103220 3103370
"251" 3135040 3135250
"252" 3150200 3150350
"253" 3161820 3161970
"254" 3173340 3173490
"255" 3181220 3181530
"256" 3181600 3181950
